"","x"
"1","[Bridge]"
"2","SPOCK:Check the circuit. "
"3","TYLER:All operating, sir. "
"4","SPOCK:It can't be the screen then. Definitely something out there, Captain, headed this way. "
"5","TYLER:It could be these meteorites. "
"6","ONE:No, it's something else. There's still something out there. "
"7","TYLER:It's coming at the speed of light, collision course. The meteorite beam has not deflected it, Captain."
"8","ONE:Evasive manoeuvres, sir?"
"9","PIKE:Steady as we go."
"10","GARISON:It's a radio wave, sir. We're passing through an old-style distress signal."
"11","PIKE:They were keyed to cause interference and attract attention this way."
"12","GARISON:A ship in trouble making a forced landing, sir. That's it. No other message."
"13","TYLER:I have a fix. It comes from the Talos star group."
"14","ONE:We've no ships or Earth colonies that far out."
"15","SPOCK:Their call letters check with a survey expedition. SS Columbia. It disappeared in that region approximately eighteen years ago."
"16","TYLER:It would take that long for a radio beam to travel from there to here."
"17","SPOCK:Records show the Talos group has never been explored. Solar system similar to Earth, eleven planets. Number four seems to be Class M, oxygen atmosphere."
"18","ONE:Then they could still be alive, even after eighteen years."
"19","PIKE:If they survived the crash."
"20","SPOCK:We aren't going to go, to be certain?"
"21","PIKE:Not without any indication of survivors, no. Continue to the Vega Colony and take care of our own sick and injured first. You have the helm. Maintain present course."
"22","ONE:Yes, sir."
"23","[Pike's quarters] BOYCE [OC}: Boyce here."
"24","PIKE:Drop by my cabin, Doctor. (Boyce enters with bag) What's that? I didn't say there's anything wrong with me."
"25","BOYCE:I understand we picked up a distress signal."
"26","PIKE:That's right. Unless we get anything more positive on it, it seems to me the condition of our own crew takes precedent. I'd like to log the ship's doctor's opinion, too."
"27","BOYCE:Oh, I concur with yours, definitely."
"28","PIKE:Good. I'm glad you do, because we're going to stop first at the Vega Colony and replace anybody who needs hospitalisation and also. What the devil are you putting in there, ice?"
"29","BOYCE:Who wants a warm martini?"
"30","PIKE:What makes you think I need one?"
"31","BOYCE:Sometimes a man'll tell his bartender things he'll never tell his doctor. What's been on your mind, Chris, the fight on Rigel Seven?"
"32","PIKE:Shouldn't it be? My only yeoman and two others dead, seven injured."
"33","BOYCE:Was there anything you personally could have done to prevent it?"
"34","PIKE:Oh, I should have smelled trouble when I saw the swords and the armour. Instead of that, I let myself get trapped in that deserted fortress and attacked by one of their warriors."
"35","BOYCE:Chris, you set standards for yourself no one could meet. You treat everyone on board like a human being except yourself, and now you're tired and you"
"36","PIKE:You bet I'm tired. You bet. I'm tired of being responsible for two hundred and three lives. I'm tired of deciding which mission is too risky and which isn't, and who's going on the landing party and who doesn't, and who lives and who dies. Boy, I've had it, Phil."
"37","BOYCE:To the point of finally taking my advice, a rest leave?"
"38","PIKE:To the point of considering resigning."
"39","BOYCE:And do what?"
"40","PIKE:Well, for one thing, go home. Nice little town with fifty miles of parkland around it. Remember I told you I had two horses, and we used to take some food and ride out all day."
"41","BOYCE:Ah, that sounds exciting. Ride out with a picnic lunch every day."
"42","PIKE:I said that's one place I might go. I might go into business on Regulus or on the Orion colony."
"43","BOYCE:You, an Orion trader, dealing in green animal women, slaves?"
"44","PIKE:The point is this isn't the only life available. There's a whole galaxy of things to choose from."
"45","BOYCE:Not for you. A man either lives life as it happens to him, meets it head-on, and licks it, or he turns his back on it and starts to wither away."
"46","PIKE:Now you're beginning to talk like a doctor, bartender."
"47","BOYCE:Take your choice. We both get the same two kinds of customers. The living and the dying. SPOCK [on monitor]: Mister Spock here. We're intercepting a follow-up message, sir. There are crash survivors on Talos."
"48","[Bridge]"
"49","GARISON:(reads) Eleven survivors from crash. Gravity and oxygen within limits. Food and water obtainable, but unless. The message faded at that point, sir."
"50","PIKE:Address intercraft."
"51","TYLER:System open."
"52","PIKE:This is the captain. Our destination is the Talos star group. Our time warp, factor seven."
"53","TYLER:Course computed and on the screen."
"54","ONE:All decks have acknowledged, sir. PIKE : Engage."
"55","TYLER:On course, sir. "
"56","(Colt enters. Pike turns around and bumps into her)"
"57","PIKE:Yeoman. "
"58","COLT:Yes, sir. "
"59","PIKE:I thought I told you that when I'm on the bridge "
"60","COLT:But you wanted the reports by oh five hundred. It's oh five hundred now, sir. "
"61","PIKE:Oh, I see. Thank you. "
"62","ONE:She's replacing your former yeoman, sir. "
"63","PIKE:She does a good job, all right. It's just that I can't get used to having a woman on the bridge. No offence, Lieutenant. You're different, of course. "
"64","(The Enterprise arrives at a planet)"
"65","TYLER:We've settled into orbit, sir."
"66","GEOLOGIST:Geological lab report complete, Captain."
"67","SPOCK:Preliminary lab survey ready, sir."
"68","PIKE:Spectography?"
"69","GEOLOGIST:Our reading shows an oxygen nitrogen atmosphere, sir, heavy with inert elements but well within safety limits."
"70","PIKE:Gravity?"
"71","GEOLOGIST:Zero point nine of Earth."
"72","TYLER:Captain? Reflections, sir, from the planet's surface. As I read it, they polarise out as rounded metal bits. Could be parts of a spaceship hull."
"73","PIKE:Prep a landing party of six. You feel up to it?"
"74","SPOCK:Yes, sir."
"75","TYLER:Yes, sir. "
"76","PIKE:Sorry, Number One. With little information on this planet, we'll have to leave the ship's most experienced officer here covering us."
"77","ONE:Of course, sir."
"78","[Transporter room]"
"79","PIKE:There's no indication of problems down there, but let's not take chances."
"80","PITCAIRN:Yes, sir. There's a canyon to the left. We can set you there completely unobserved."
"81","[Planet surface]"
"82","(the group explores until they find a rough settlement)"
"83","GARISON:Sir. OLD MAN: They're men. They're humans."
"84","PIKE:Captain Christopher Pike, United Space Ship Enterprise."
"85","HASKINS:Doctor Theodore Haskins, American Continent lnstitute."
"86","SURVIVOR:Is Earth all right?"
"87","PIKE:The same old Earth, and you'll see it very soon."
"88","TYLER:And you won't believe how fast you can get back. Well the time barrier's been broken. Our new ships can"
"89","(He's struck dumb by the sight of a lovely young woman)"
"90","HASKINS:This is Vina. Her parents are dead. She was born almost as we crashed."
"91","(The reunion is being watched on another screen, by three people with big bald heads)"
"92","PIKE:(as the survivors pack up the settlement) Enterprise. ONE [OC]: Landing party, come in."
"93","PIKE:We'll begin transporting the survivors and their effects up to you very shortly. ONE [OC]: Quarters are being prepared, sir. Have I permission to send out scouting and scientific parties now?"
"94","PIKE:That's affirmative on the"
"95","VINA:You appear to be healthy and intelligent, Captain. A prime specimen. ONE [OC]: I didn't get that last message, Captain."
"96","PIKE:Er, affirmative on request. Landing party out."
"97","HASKINS:You must forgive her choice of words, Captain. She's lived her whole life with a collection of aging scientists."
"98","BOYCE:If they can spare you a moment, I'd like to make my medical report."
"99","VINA:I think it's time to show the Captain our secret."
"100","BOYCE:Their health is excellent. Almost too good."
"101","HASKINS:There's a reason for our condition, but we've had some doubt if Earth is ready to learn the secret. Let the girl show you. We'll accept your judgment."
"102","(Pike follows Vina up a slope to a ledge by a rock face)"
"103","VINA:You're tired, but don't worry. You'll feel much better soon. Don't you see it? Here and here."
"104","PIKE:I don't understand."
"105","VINA:You will. You're a perfect choice. "
"106","(Vina vanishes, and so do all the survivors and their encampment. A door opens in the rock face, Pike is knocked out and taken inside. At the settlement -)"
"107","TYLER:Captain! "
"108","(Everyone rushes over in time to see the door closing in the rock. They fire their phasers at it but it just blasts away the rock covering to show the metal underneath.)"
"109","SPOCK:Spock here. ONE [OC]: Landing party, come in."
"110","SPOCK:There is no survivors' encampment, Number One. This is all some sort of trap. We've lost the Captain. Do you read?"
"111","[Pike's cage]"
"112","(Pike wakes to find himself in a cell with a transparent wall blocking his escape. He tests it's strength, and notices other similar occupied cells. There's a fanged ape, a giant bird and other scary shadows. The three aliens arrive)"
"113","PIKE:Can you hear me? My name is Christopher Pike, commander of the space vehicle Enterprise from a stellar group at the other end of this galaxy. Our intentions are peaceful. Can you understand me?"
"114","(the aliens communicate with their minds, not voices)"
"115","TALOSIAN:It appears, Magistrate, that the intelligence of the specimen is shockingly limited."
"116","MAGISTRATE:This is no surprise since his vessel was baited here so easily with a simulated message. As you can read in its thoughts, it is only now beginning to suspect that the survivors and encampment were a simple illusion we placed in their minds."
"117","PIKE:You're not speaking, yet I can hear you."
"118","MAGISTRATE:You will note the confusion as it reads our thought transmissions."
"119","PIKE:All right then, telepathy. You can read my mind. I can read yours. Now, unless you want my ship to consider capturing me an unfriendly act"
"120","MAGISTRATE:You now see the primitive fear threat reaction. The specimen is about to boast of his strength, the weaponry of his vessel, and so on. Next, frustrated into a need to display physical prowess, the creature will throw himself against the transparency."
"121","PIKE:If you were in here, wouldn't you test the strength of these walls, too? There's a way out of any cage, and I'll find it."
"122","MAGISTRATE:Despite its frustration, the creature appears more adaptable than our specimens from other planets. We can soon begin the experiment. "
"123","[Briefing room]"
"124","SPOCK:The inhabitants of this planet must live deep underground, and probably manufacture food and other needs down there. Our tests indicate the planet surface, without considerably more vegetation or some animals, simply too barren to support life."
"125","ONE:So we just thought we saw survivors there, Mister Spock."
"126","SPOCK:Exactly. An illusion placed in our minds by this planet's inhabitants."
"127","BOYCE:It was a perfect illusion. They had us seeing just what we wanted to see, human beings who'd survived with dignity and bravery, everything entirely logical, right down to the building of the camp, the tattered clothing, everything. Now let's be sure we understand the danger of this. The inhabitants of this planet can read our minds. They can create illusions out of a person's own thoughts, memories, and experiences, even out of a person's own desires. Illusions just as real and solid as this table top and just as impossible to ignore."
"128","ONE:Any estimate what they might want one of us for? "
"129","SPOCK:They may simply be studying the Captain, to find out how Earth people are put together. Or it could be something more. "
"130","TYLER:Then why aren't we doing anything? That entry may have stood up against hand lasers, but we can transmit the ship's power against it. Enough to blast half a continent. "
"131","SPOCK:Look. Brains three times the size of ours. If we start buzzing about down there, we're liable to find their mental power is so great they could reach out and swat this ship as though it were a fly."
"132","TYLER:It's Captain Pike they've got. He needs help, and he probably needs it fast. ONE: Engineering deck will rig to transmit ship's power. We'll try blasting through that metal."
"133","[Talosian monitoring room]"
"134","(As Pike continues to explore his cell)"
"135","TALOSIAN:Thousands of us are already probing the creature's thoughts, Magistrate. We find excellent memory capacity."
"136","MAGISTRATE:I read most strongly a recent death struggle in which it fought to protect its life. We will begin with this, giving the specimen something more interesting to protect."
"137","[Rigel Seven]"
"138","VINA:Come on, we must hide ourselves. Come, come. Hurry. It's deserted. There'll be weapons and perhaps food."
"139","PIKE:This is Rigel Seven."
"140","VINA:Please, we must hide ourselves."
"141","PIKE:I was in a cage, a cell, in some kind of a zoo. I must still be there."
"142","VINA:Come on."
"143","PIKE:They've reached into my mind and taken the memory of somewhere I've been."
"144","VINA:The killer!"
